substation,scenario,wind_mw,solar_mw,bess_mw,total_mw,curtailment_pct,curtailed_mwh,total_mwh,binding_branch
Swansea West,30MW Wind + 20MW Solar,30,20,0,50,20.51,20119,98112,SWAW3_#2T0->SWAW1_213
Swansea West,30MW Wind + 10MW BESS,30,0,10,40,25.47,29608,116261,SWAW3_#2T0->SWAW1_213
Swansea West,20MW Solar + 10MW BESS,0,20,10,30,8.95,5608,62663,SWAW3_#2T0->SWAW1_213
Swansea West,30MW Wind + 20MW Solar + 10MW BESS,30,20,10,60,26.58,36819,138518,SWAW3_#2T0->SWAW1_213
Swansea West,50MW Wind only,50,0,0,50,35.0,44243,126425,SWAW3_#2T0->SWAW1_213
Swansea West,50MW Solar only,0,50,0,50,19.16,10662,55642,SWAW3_#2T0->SWAW1_213
Swansea West,50MW BESS only,0,0,50,50,45.59,92115,202031,SWAW3_#2T0->SWAW1_213
Hirwaun,30MW Wind + 20MW Solar,30,20,0,50,1.38,1355,98112,HIRW3_2L5->HNDR3T
Hirwaun,30MW Wind + 10MW BESS,30,0,10,40,0.33,382,116261,HIRW3_2L5->HNDR3T
Hirwaun,20MW Solar + 10MW BESS,0,20,10,30,1.14,716,62663,HIRW3_2L5->HNDR3T
Hirwaun,30MW Wind + 20MW Solar + 10MW BESS,30,20,10,60,1.55,2153,138518,HIRW3_2L5->HNDR3T
Hirwaun,50MW Wind only,50,0,0,50,0.82,1031,126425,HIRW3_2L5->HNDR3T
Hirwaun,50MW Solar only,0,50,0,50,9.77,5436,55642,HIRW3_2L5->HNDR3T
Hirwaun,50MW BESS only,0,0,50,50,1.75,3541,202031,HIRW3_2L5->HNDR3T
Llanarth,30MW Wind + 20MW Solar,30,20,0,50,1.81,1771,98112,LLAN3_1L5->BLAP3_3L5
Llanarth,30MW Wind + 10MW BESS,30,0,10,40,0.3,346,116261,LLAN3_1L5->BLAP3_3L5
Llanarth,20MW Solar + 10MW BESS,0,20,10,30,1.24,776,62663,LLAN3_1L5->BLAP3_3L5
Llanarth,30MW Wind + 20MW Solar + 10MW BESS,30,20,10,60,2.21,3061,138518,LLAN3_1L5->BLAP3_3L5
Llanarth,50MW Wind only,50,0,0,50,1.17,1473,126425,LLAN3_1L5->BLAP3_3L5
Llanarth,50MW Solar only,0,50,0,50,13.56,7546,55642,LLAN3_1L5->BLAP3_3L5
Llanarth,50MW BESS only,0,0,50,50,5.94,12009,202031,59L5036P154->59L5036P152
Swansea North,30MW Wind + 20MW Solar,30,20,0,50,0.0,0,98112,None
Swansea North,30MW Wind + 10MW BESS,30,0,10,40,0.0,0,116261,None
Swansea North,20MW Solar + 10MW BESS,0,20,10,30,0.0,0,62663,None
Swansea North,30MW Wind + 20MW Solar + 10MW BESS,30,20,10,60,0.0,0,138518,None
Swansea North,50MW Wind only,50,0,0,50,0.0,0,126425,None
Swansea North,50MW Solar only,0,50,0,50,0.0,0,55642,None
Swansea North,50MW BESS only,0,0,50,50,0.0,0,202031,None
Rhos,30MW Wind + 20MW Solar,30,20,0,50,0.0,0,98112,None
Rhos,30MW Wind + 10MW BESS,30,0,10,40,0.0,0,116261,None
Rhos,20MW Solar + 10MW BESS,0,20,10,30,0.0,1,62663,LAMP3_2L5->LWNI3_2L3
Rhos,30MW Wind + 20MW Solar + 10MW BESS,30,20,10,60,0.0,2,138518,LAMP3_2L5->LWNI3_2L3
Rhos,50MW Wind only,50,0,0,50,0.0,0,126425,None
Rhos,50MW Solar only,0,50,0,50,0.33,185,55642,LAMP3_2L5->LWNI3_2L3
Rhos,50MW BESS only,0,0,50,50,0.24,484,202031,RHOS3_#1T0->RHOS1_#110
Lampeter,30MW Wind + 20MW Solar,30,20,0,50,0.67,653,98112,LAMP3_GT1->LAMP1_#110
Lampeter,30MW Wind + 10MW BESS,30,0,10,40,1.8,2091,116261,LAMP3_GT1->LAMP1_#110
Lampeter,20MW Solar + 10MW BESS,0,20,10,30,0.0,3,62663,RHOS3_2L5->LWNI3_1L3
Lampeter,30MW Wind + 20MW Solar + 10MW BESS,30,20,10,60,1.84,2547,138518,LAMP3_GT1->LAMP1_#110
Lampeter,50MW Wind only,50,0,0,50,6.66,8421,126425,LAMP3_GT1->LAMP1_#110
Lampeter,50MW Solar only,0,50,0,50,0.17,96,55642,RHOS3_2L5->LWNI3_1L3
Lampeter,50MW BESS only,0,0,50,50,6.49,13117,202031,LAMP3_GT1->LAMP1_#110
