GSP Name,From Bus Number,To Bus Number,Tertiary Bus Number,From Bus Name,To Bus Name,Tertiary Bus Name,Circuit ID,Season,Import TL MW,Export TL MW,Import CAFPL MVA,Export CARPL MVA
Upper Boat,950209,950218,95620,UPPB2_H13,UPPB1_SGT1,UPPB8A,S1,Winter,-201.6,101.2,,240.0
Upper Boat,950209,950218,95620,UPPB2_H13,UPPB1_SGT1,UPPB8A,S1,Intermediate Cool,-139.2,101.2,,240.0
Upper Boat,950209,950218,95620,UPPB2_H13,UPPB1_SGT1,UPPB8A,S1,Intermediate Warm,-139.2,101.2,,240.0
Upper Boat,950209,950218,95620,UPPB2_H13,UPPB1_SGT1,UPPB8A,S1,Summer,-148.0,101.2,,240.0
Upper Boat,950211,950219,95621,UPPB2_H43,UPPB1_SGT4,UPPB8B,S4,Winter,-201.6,101.2,,240.0
Upper Boat,950211,950219,95621,UPPB2_H43,UPPB1_SGT4,UPPB8B,S4,Intermediate Cool,-139.2,101.2,,240.0
Upper Boat,950211,950219,95621,UPPB2_H43,UPPB1_SGT4,UPPB8B,S4,Intermediate Warm,-139.2,101.2,,240.0
Upper Boat,950211,950219,95621,UPPB2_H43,UPPB1_SGT4,UPPB8B,S4,Summer,-148.0,101.2,,240.0
Upper Boat,950212,950214,0,UPPB2_SGT2,UPPB3_SGT2,,S2,Winter,-80.2,94.1,,100.0
Upper Boat,950212,950214,0,UPPB2_SGT2,UPPB3_SGT2,,S2,Intermediate Cool,-57.7,94.1,,100.0
Upper Boat,950212,950214,0,UPPB2_SGT2,UPPB3_SGT2,,S2,Intermediate Warm,-57.7,94.1,,100.0
Upper Boat,950212,950214,0,UPPB2_SGT2,UPPB3_SGT2,,S2,Summer,-41.9,94.1,,100.0
Upper Boat,950213,950215,0,UPPB2_SGT3,UPPB3_SGT3,,S3,Winter,-80.2,94.1,,100.0
Upper Boat,950213,950215,0,UPPB2_SGT3,UPPB3_SGT3,,S3,Intermediate Cool,-57.7,94.1,,100.0
Upper Boat,950213,950215,0,UPPB2_SGT3,UPPB3_SGT3,,S3,Intermediate Warm,-57.7,94.1,,100.0
Upper Boat,950213,950215,0,UPPB2_SGT3,UPPB3_SGT3,,S3,Summer,-41.9,94.1,,100.0
